Date,Stock,Stock_change,Price,Price_change,Days_of_Supply,DoS_change
1/5/1990,1004329,,23.27,,24.8,
1/12/1990,1013190,0.008822806,22.57,-0.03008165,25.2,0.016129032
1/19/1990,1019846,0.00656935,22.73,0.007089056,25.2,0
1/26/1990,1032697,0.012600922,22.11,-0.027276727,24.3,-0.035714286
2/2/1990,1050719,0.017451392,22.73,0.02804161,24.5,0.008230453
2/9/1990,1053257,0.002415489,22.21,-0.022877255,24.1,-0.016326531
2/16/1990,1052636,-0.0005896,22.25,0.001800991,23.9,-0.008298755
2/23/1990,1032660,-0.01897712,21.78,-0.021123596,23.6,-0.012552301
3/2/1990,1037097,0.004296671,21.49,-0.013314968,24,0.016949153
3/9/1990,1033756,-0.003221492,21,-0.022801303,24.8,0.033333333
3/16/1990,1025649,-0.007842276,20.19,-0.038571429,25,0.008064516
3/23/1990,1028171,0.002458931,19.85,-0.01684002,26,0.04
3/30/1990,1026232,-0.001885873,20.27,0.02115869,26.5,0.019230769
4/6/1990,1026553,0.000312795,19.83,-0.021706956,27.2,0.026415094
4/13/1990,1027447,0.000870876,17.99,-0.092788704,27.2,0
4/20/1990,1022754,-0.004567632,17.65,-0.018899389,26.8,-0.014705882
4/27/1990,1034678,0.011658718,18.75,0.062322946,27.2,0.014925373
5/4/1990,1035614,0.000904629,18.4,-0.018666667,27,-0.007352941
5/11/1990,1033465,-0.002075097,18.7,0.016304348,27.5,0.018518519
5/18/1990,1047606,0.013683095,19.19,0.026203209,27.8,0.010909091
5/25/1990,1058657,0.010548813,17.94,-0.065138093,27.5,-0.010791367
6/1/1990,1073856,0.014356869,17.74,-0.011148272,27.4,-0.003636364
6/8/1990,1076090,0.002080353,16.84,-0.050732807,27.2,-0.00729927
6/15/1990,1079877,0.003519222,17.13,0.017220903,27,-0.007352941
6/22/1990,1078157,-0.001592774,16.26,-0.050788091,27.1,0.003703704
6/29/1990,1079161,0.000931219,17.08,0.050430504,27.1,0
7/6/1990,1084142,0.004615623,16.62,-0.026932084,26.5,-0.022140221
7/13/1990,1093138,0.008297806,17.56,0.056558363,26.5,0
7/20/1990,1095244,0.001926564,18.89,0.075740319,26,-0.018867925
7/27/1990,1103760,0.007775436,20.36,0.077818952,26.1,0.003846154
8/3/1990,1099217,-0.004115931,22.01,0.081041257,25.5,-0.022988506
8/10/1990,1086473,-0.011593707,26.84,0.219445706,25.1,-0.015686275
8/17/1990,1090799,0.003981691,27.22,0.014157973,25.2,0.003984064
8/24/1990,1093287,0.002280897,30.21,0.109845702,25.4,0.007936508
8/31/1990,1093853,0.000517705,26.96,-0.107580271,25.2,-0.007874016
9/7/1990,1103207,0.008551423,30.09,0.116097923,25.5,0.011904762
9/14/1990,1106268,0.002774638,31.17,0.035892323,25,-0.019607843
9/21/1990,1107920,0.001493309,34.07,0.093038178,24.5,-0.02
9/28/1990,1098462,-0.008536717,38.7,0.135896683,23.9,-0.024489796
10/5/1990,1093180,-0.004808541,36.66,-0.052713178,24,0.0041841
10/12/1990,1084519,-0.007922757,39.63,0.08101473,24,0
10/19/1990,1076105,-0.007758278,36.83,-0.070653545,24.5,0.020833333
10/26/1990,1079612,0.003258976,31.22,-0.152321477,25.2,0.028571429
11/2/1990,1080252,0.000592806,34.72,0.112107623,25.8,0.023809524
11/9/1990,1077463,-0.002581805,33.86,-0.024769585,26.1,0.011627907
11/16/1990,1064285,-0.012230582,31.41,-0.072356763,25.7,-0.01532567
11/23/1990,1064458,0.00016255,30.49,-0.029290035,25.4,-0.011673152
11/30/1990,1064982,0.000492269,32.17,0.055100033,25.2,-0.007874016
12/7/1990,1053049,-0.011204884,28.02,-0.129002176,24.8,-0.015873016
12/14/1990,1051147,-0.001806184,26.33,-0.060314061,24.6,-0.008064516
12/21/1990,1039671,-0.010917598,26.83,0.018989746,24.7,0.004065041
12/28/1990,1028176,-0.011056382,27.27,0.016399553,24.6,-0.004048583
1/4/1991,1014451,-0.013348882,26.33,-0.034470114,24.1,-0.020325203
1/11/1991,1006734,-0.00760707,27.42,0.041397645,24.4,0.012448133
1/18/1991,997267,-0.009403676,26.71,-0.025893508,24.4,0
1/25/1991,995322,-0.00195033,22.12,-0.171845751,24.6,0.008196721
2/1/1991,992089,-0.003248195,21.33,-0.035714286,24.6,0
2/8/1991,991365,-0.000729773,21.29,-0.001875293,24.4,-0.008130081
2/15/1991,996098,0.004774225,22.23,0.044152184,24.7,0.012295082
2/22/1991,997069,0.000974804,19.24,-0.134502924,24.4,-0.012145749
3/1/1991,987670,-0.009426629,18.74,-0.025987526,24.2,-0.008196721
3/8/1991,982108,-0.005631436,19.83,0.058164354,24,-0.008264463
3/15/1991,979144,-0.003017998,19.88,0.002521432,24.6,0.025
3/22/1991,974757,-0.004480444,20.27,0.019617706,24.9,0.012195122
3/29/1991,967127,-0.007827592,19.61,-0.032560434,25.5,0.024096386
4/5/1991,962808,-0.004465804,19.68,0.003569607,25.2,-0.011764706
