Date,Stock,Stock_change,Price,Price_change
1/5/1990,1004329,,23.27,
1/12/1990,1013190,0.003814892,22.57,-0.013264824
1/19/1990,1019846,0.002843702,22.73,0.003067877
1/26/1990,1032697,0.005438319,22.11,-0.012010693
2/2/1990,1050719,0.00751367,22.73,0.012010693
2/9/1990,1053257,0.001047769,22.21,-0.010050877
2/16/1990,1052636,-0.000256135,22.25,0.000781457
2/23/1990,1032660,-0.008320864,21.78,-0.00927214
3/2/1990,1037097,0.001862023,21.49,-0.00582146
3/9/1990,1033756,-0.001401335,21,-0.010017121
3/16/1990,1025649,-0.003419282,20.19,-0.017082976
3/23/1990,1028171,0.001066589,19.85,-0.007375808
3/30/1990,1026232,-0.000819798,20.27,0.009093238
4/6/1990,1026553,0.000135824,19.83,-0.009531034
4/13/1990,1027447,0.000378052,17.99,-0.042291551
4/20/1990,1022754,-0.001988242,17.65,-0.008286454
4/27/1990,1034678,0.005034028,18.75,0.026256562
5/4/1990,1035614,0.000392698,18.4,-0.008183449
5/11/1990,1033465,-0.00090214,18.7,0.007023784
5/18/1990,1047606,0.005902204,19.19,0.011233368
5/25/1990,1058657,0.004557296,17.94,-0.029252536
6/1/1990,1073856,0.006190775,17.74,-0.004868823
6/8/1990,1076090,0.000902548,16.84,-0.022611528
6/15/1990,1079877,0.001525696,17.13,0.007415276
6/22/1990,1078157,-0.000692284,16.26,-0.022636822
6/29/1990,1079161,0.000404235,17.08,0.021367325
7/6/1990,1084142,0.001999928,16.62,-0.011856847
7/13/1990,1093138,0.003588822,17.56,0.023893492
7/20/1990,1095244,0.000835891,18.89,0.031707446
7/27/1990,1103760,0.003363769,20.36,0.032545816
8/3/1990,1099217,-0.001791215,22.01,0.033842269
8/10/1990,1086473,-0.005064498,26.84,0.086162469
8/17/1990,1090799,0.001725793,27.22,0.006105609
8/24/1990,1093287,0.000989453,30.21,0.045262604
8/31/1990,1093853,0.000224778,26.96,-0.049430837
9/7/1990,1103207,0.003698047,30.09,0.0477023
9/14/1990,1106268,0.001203341,31.17,0.015314615
9/21/1990,1107920,0.000648052,34.07,0.038635331
9/28/1990,1098462,-0.003723365,38.7,0.055338831
10/5/1990,1093180,-0.00209336,36.66,-0.023518504
10/12/1990,1084519,-0.003454513,39.63,0.033831612
10/19/1990,1076105,-0.003382516,36.83,-0.031822353
10/26/1990,1079612,0.001413054,31.22,-0.07176882
11/2/1990,1080252,0.000257376,34.72,0.046146818
11/9/1990,1077463,-0.001122714,33.86,-0.010892763
11/16/1990,1064285,-0.005344424,31.41,-0.032619017
11/23/1990,1064458,7.0589E-05,30.49,-0.012910512
11/30/1990,1064982,0.000213737,32.17,0.023293637
12/7/1990,1053049,-0.004893687,28.02,-0.05998293
12/14/1990,1051147,-0.000785125,26.33,-0.027017272
12/21/1990,1039671,-0.004767525,26.83,0.008169814
12/28/1990,1028176,-0.004828468,27.27,0.007064465
1/4/1991,1014451,-0.005836388,26.33,-0.015234279
1/11/1991,1006734,-0.003316338,27.42,0.017616591
1/18/1991,997267,-0.004103288,26.71,-0.011393562
1/25/1991,995322,-0.000847845,22.12,-0.081888765
2/1/1991,992089,-0.001412969,21.33,-0.015794267
2/8/1991,991365,-0.000317052,21.29,-0.000815194
2/15/1991,996098,0.002068486,22.23,0.018763801
2/22/1991,997069,0.000423146,19.24,-0.062734395
3/1/1991,987670,-0.004113351,18.74,-0.011435481
3/8/1991,982108,-0.002452614,19.83,0.024553128
3/15/1991,979144,-0.001312682,19.88,0.001093666
3/22/1991,974757,-0.001950204,20.27,0.008437369
3/29/1991,967127,-0.003412855,19.61,-0.014376155
4/5/1991,962808,-0.001943818,19.68,0.0015475
4/12/1991,967443,0.002085696,20.8,0.024038241
4/19/1991,969526,0.000934074,21.49,0.014173081
4/26/1991,980979,0.00510025,21.17,-0.006515557
5/3/1991,983180,0.000973325,21.2,0.000615003
5/10/1991,991698,0.003746402,21.66,0.009322591
5/17/1991,1000578,0.003871512,20.93,-0.014889224
5/24/1991,1011949,0.004907676,21.16,0.004746435
5/31/1991,1030237,0.007778518,21.22,0.001229716
6/7/1991,1035306,0.002131588,20.65,-0.011825324
6/14/1991,1043130,0.003269705,19.85,-0.017159545
6/21/1991,1043797,0.000277609,20.09,0.005219426
6/28/1991,1042635,-0.000483745,20.23,0.003015946
7/5/1991,1041915,-0.000300009,20.79,0.011858607
7/12/1991,1048036,0.00254391,21.39,0.012356295
7/19/1991,1050214,0.000901602,21.87,0.009637998
7/26/1991,1052759,0.001051159,21.5,-0.007410323
8/2/1991,1055981,0.001327141,21.41,-0.001821793
8/9/1991,1056717,0.00030259,21.48,0.00141761
8/16/1991,1056705,-4.93184E-06,21.46,-0.000404559
8/23/1991,1069745,0.005326503,21.96,0.010002618
8/30/1991,1076411,0.002697862,21.98,0.000395352
