Weekly U.S. Days of Supply of Crude Oil excluding SPR
https://www.eia.gov/dnav/pet/hist/LeafHandler.ashx?n=PET&s=W_EPC0_VSD_NUS_DAYS&f=W
08:39:10 GMT-0500 (Eastern Standard Time)
Source: U.S. Energy Information Administration
Week of,Weekly U.S. Days of Supply of Crude Oil excluding SPR Number of Days
12/11/2020,35.2
12/4/2020,35.6
11/27/2020,35.1
11/20/2020,35.5
11/13/2020,36.1
11/6/2020,36.6
10/30/2020,36.2
10/23/2020,36.6
10/16/2020,36.1
10/9/2020,35.9
10/2/2020,36.3
09/25/2020,37
09/18/2020,37
09/11/2020,36.2
09/4/2020,35.8
08/28/2020,34.5
08/21/2020,34.7
08/14/2020,35.1
08/7/2020,35.4
07/31/2020,35.9
07/24/2020,36.6
07/17/2020,37.7
07/10/2020,37.6
07/3/2020,38.6
06/26/2020,38.8
06/19/2020,39.9
06/12/2020,40.4
06/5/2020,40.9
05/29/2020,41.3
05/22/2020,41.7
05/15/2020,41.3
05/8/2020,42
05/1/2020,41.9
04/24/2020,41
04/17/2020,38.7
04/10/2020,35.3
04/3/2020,32.2
03/27/2020,30.1
03/20/2020,28.9
03/13/2020,28.7
03/6/2020,28.4
02/28/2020,27.8
02/21/2020,27.6
02/14/2020,27.6
02/7/2020,27.3
01/31/2020,26.5
01/24/2020,25.9
01/17/2020,25.2
01/10/2020,25.2
01/3/2020,25.5
12/27/2019,25.5
12/20/2019,26.4
12/13/2019,27
12/6/2019,27.1
11/29/2019,27.3
11/22/2019,28.1
11/15/2019,28.1
11/8/2019,28.3
11/1/2019,28.3
10/25/2019,27.9
10/18/2019,27.5
10/11/2019,27.3
10/4/2019,26.2
09/27/2019,25.3
09/20/2019,24.6
09/13/2019,24.2
09/6/2019,23.8
08/30/2019,24.2
08/23/2019,24.4
08/16/2019,25.1
08/9/2019,25.5
08/2/2019,25.4
07/26/2019,25.4
07/19/2019,25.8
07/12/2019,26.3
07/5/2019,26.5
06/28/2019,27.2
06/21/2019,27.4
