Date,Refinery Capacity in %
11/13/2020,77.4
11/6/2020,74.5
10/30/2020,75.3
10/23/2020,74.6
10/16/2020,72.9
10/9/2020,75.1
10/2/2020,77.1
9/25/2020,75.8
9/18/2020,74.8
9/11/2020,75.8
9/4/2020,71.8
8/28/2020,76.7
8/21/2020,82
8/14/2020,80.9
8/7/2020,81
7/31/2020,79.6
7/24/2020,79.5
7/17/2020,77.9
7/10/2020,78.1
7/3/2020,77.5
6/26/2020,75.5
6/19/2020,74.6
6/12/2020,73.8
6/5/2020,73.1
5/29/2020,71.8
5/22/2020,71.3
5/15/2020,69.4
5/8/2020,67.9
4/17/2020,67.6
4/10/2020,69.1
4/3/2020,75.6
3/27/2020,82.3
3/20/2020,87.3
3/13/2020,86.4
3/6/2020,86.4
2/28/2020,86.9
2/21/2020,87.9
2/14/2020,89.4
2/7/2020,88
1/31/2020,87.4
1/24/2020,87.2
1/17/2020,90.5
1/10/2020,92.2
1/3/2020,93
12/27/2019,94.5
12/20/2019,93.3
12/13/2019,90.6
12/6/2019,90.6
11/29/2019,91.9
11/22/2019,89.3
11/15/2019,89.5
11/8/2019,87.8
11/1/2019,86
10/25/2019,87.7
10/18/2019,85.2
10/11/2019,83.1
10/4/2019,85.7
9/27/2019,86.4
9/20/2019,89.8
9/13/2019,91.2
9/6/2019,95.1
8/30/2019,94.8
8/23/2019,95.2
8/16/2019,95.9
8/9/2019,94.8
8/2/2019,96.4
7/26/2019,93
7/19/2019,93.1
7/12/2019,94.4
7/5/2019,94.7
6/28/2019,94.2
6/21/2019,94.2
6/14/2019,93.9
6/7/2019,93.2
5/31/2019,91.8
5/24/2019,91.2
5/17/2019,89.9
5/10/2019,90.5
5/3/2019,88.9
4/26/2019,89.2
4/19/2019,90.1
4/12/2019,87.7
4/5/2019,87.5
3/29/2019,86.4
3/22/2019,86.6
3/15/2019,88.9
3/8/2019,87.6
3/1/2019,87.5
2/22/2019,87.1
2/15/2019,85.9
2/8/2019,85.9
2/1/2019,90.7
1/25/2019,90.1
1/18/2019,92.9
1/11/2019,94.6
1/4/2019,96.1
12/28/2018,97.2
12/21/2018,95.1
12/14/2018,95.4
12/7/2018,95.1
11/30/2018,95.5
11/23/2018,95.6
11/16/2018,92.7
11/9/2018,90.1
11/2/2018,90
10/26/2018,89.4
10/19/2018,89.2
10/12/2018,88.8
10/5/2018,88.8
9/28/2018,90.4
9/21/2018,90.4
9/14/2018,95.4
9/7/2018,97.6
8/31/2018,96.6
8/24/2018,96.3
8/17/2018,98.1
8/10/2018,98.1
8/3/2018,96.6
7/27/2018,96.1
7/20/2018,93.8
7/13/2018,94.3
7/6/2018,96.7
6/29/2018,97.1
6/22/2018,97.5
6/15/2018,96.7
6/8/2018,95.7
6/1/2018,95.4
5/25/2018,93.9
5/18/2018,91.8
5/11/2018,91.1
5/4/2018,90.4
4/27/2018,91.1
4/20/2018,90.8
4/13/2018,92.4
4/6/2018,93.5
3/30/2018,93
3/23/2018,92.3
3/16/2018,91.7
3/9/2018,90
3/2/2018,88
2/23/2018,87.8
2/16/2018,88.1
2/9/2018,89.8
2/2/2018,92.5
1/26/2018,88.1
1/19/2018,90.9
1/12/2018,93
1/5/2018,95.3
12/29/2017,96.7
12/22/2017,95.7
12/15/2017,94.1
12/8/2017,93.4
12/1/2017,93.8
11/24/2017,92.6
11/17/2017,91.3
11/10/2017,91
11/3/2017,89.6
10/27/2017,88.1
10/20/2017,87.8
10/13/2017,84.5
10/6/2017,89.2
9/29/2017,88.1
9/22/2017,88.6
9/15/2017,83.2
9/8/2017,77.7
9/1/2017,79.7
8/25/2017,96.6
8/18/2017,95.4
8/11/2017,96.1
8/4/2017,96.3
7/28/2017,95.4
7/21/2017,94.3
7/14/2017,94
7/7/2017,94.5
6/30/2017,93.6
6/23/2017,92.5
6/16/2017,94
6/9/2017,94.4
6/2/2017,94.1
5/26/2017,95
5/19/2017,93.5
5/12/2017,93.4
5/5/2017,91.5
4/28/2017,93.3
4/21/2017,94.1
4/14/2017,92.9
4/7/2017,91
3/31/2017,90.8
3/24/2017,89.3
3/17/2017,87.4
3/10/2017,85.1
3/3/2017,85.9
2/24/2017,86
2/17/2017,84.3
2/10/2017,85.4
2/3/2017,87.7
1/27/2017,88.2
1/20/2017,88.3
1/13/2017,90.7
1/6/2017,93.6
12/30/2016,92
12/23/2016,91
12/16/2016,91.5
12/9/2016,90.5
12/2/2016,90.4
11/25/2016,89.8
11/18/2016,90.8
11/11/2016,89.2
11/4/2016,87.1
10/28/2016,85.2
10/21/2016,85.6
10/14/2016,85
10/7/2016,85.5
9/30/2016,88.3
9/23/2016,90.1
9/16/2016,92
9/9/2016,92.9
9/2/2016,93.7
8/26/2016,92.8
8/19/2016,92.5
8/12/2016,93.5
8/5/2016,92.2
7/29/2016,93.3
7/22/2016,92.4
7/15/2016,93.2
7/8/2016,92.3
7/1/2016,92.5
6/24/2016,93
6/17/2016,91.3
6/10/2016,90.2
6/3/2016,90.9
5/27/2016,89.8
5/20/2016,89.7
5/13/2016,90.5
5/6/2016,89.1
4/29/2016,89.7
4/22/2016,88.1
4/15/2016,89.4
4/8/2016,89.2
4/1/2016,91.4
3/25/2016,90.4
3/18/2016,88.4
3/11/2016,89
3/4/2016,89.1
